41	1	1.0	1.0	2.0	I think computers are good because you can talk to your friends and family on the computers. People needs computers to look for a job. Some people spend to much time on the computers then on homework people need to stop.
648	1	3.0	3.0	6.0	Dear @CAPS1 @CAPS2 @CAPS3, I think computers make a big role in monern cicity. For this reason I think that @CAPS4 should take the advantige that @CAPS4 have. @CAPS4 could do lots of things. @CAPS4 could use it for @CAPS7 related @CAPS6 @CAPS4 could use it for @CAPS5 @CAPS6. @CAPS4 could also chat online. @CAPS4 could use it for @CAPS7 related @CAPS6. Like homewrok and projects. @CAPS4 could use it for info on a project or homework. @CAPS4 could use it for the @CAPS8, @CAPS9, and @CAPS10. and many other reasons why @CAPS4 should have @CAPS12 for @CAPS7. @CAPS4 could use the computers for @CAPS5 @CAPS6. Like making holiday and birthday cards. Pay bills for morgiges online. @CAPS4 could book a hotel online. @CAPS4 could play on or agentst with online games. @CAPS4 use for bidding on ebay or amazon. Pay bills for long distance calling. @ORGANIZATION1 the @CAPS13 if you missed it. Or just @ORGANIZATION1 shows in general. @CAPS4 could use it for chatting online. Like sendding emails or talking on ooVoo. So thats why @CAPS4 sould take the advantige.
281	1	4.0	3.0	7.0	"Dear, Local Newspaper writer I believe that computers benefit our society because we could connect to people more faster and easier. And computers @CAPS1 good for our society because of we don't have to spend to much time on the phone. That @CAPS1 why I think computers benefits our society. ""@CAPS1 computers a good thing or bad thing?"" Computers are a good thing because you could email your family or friends any time you want too. But sometimes we don't have to be on the computer so long. That @CAPS1 why I think computers are a good thing. Without computers it will be different because you have to talk to people on the phone or text message. In my opinion I am really thankful that we have computers. And on computers you could go on everything like @ORGANIZATION2, @CAPS2, @CAPS3, @CAPS4, and even work on the computer. That @CAPS1 without computers it will be different. I think people are not spending to much time on the computer"", because a lot of people on the computer to do office work. Computer make things a lot easier for us! But sometimes people take advantage over it. That @CAPS1 why I feel people are not spending too much time on the computer. Last but not least that @CAPS1 why I know computers benefit's our society."
1429	1	3.0	4.0	7.0	Dear @CAPS1, I believe that computers have a positive effect on people. Three reasons why I think computers have a positive effect on people are that you have the ability to talk to your friends and family, also talk to other people around the world and you can even shop online. Without contact with your loved ones is sad because if you wanna talk to them you can email them to see how they are doing. With emailing you can send messages to your friends in any part of the world. One example of this is if you have a friends in @LOCATION1 and you wanna see if he's doing @CAPS2 you can send him a message. Talking to people on the web is really fun because you can se what or people are playing games with you. If you are on facebook or myspace you can add people as your friends so you can friends. Shopping online is more faster and more quicker than shopping at. is that if you shopping for clothes and there's a then you'll start to go that's why there is online shoping so that we can. You can. In conclusion is a very useful thing. talk to your relatives from @LOCATION2 and you can shopping without the waiting in line. The can talk to other the world.
191	1	4.0	4.0	8.0	Dear The @CAPS1, I understand that you have some concerns about computers. I don't think you should be concerned though. You should not be concerned because computers are very posotive. They teach us hand-eye coordination, help teach you about faraway places and people, and finally you can talk online with familly and friends. First, computers teach you hand-eye coordination. There are thousands of fun games online that can help improve your reflexes and eyesight. This can help heal or improve some people reflexes by making their eyes more keen. Another thing amazing about computers is that you can learn about far away places and people. This is very helpful because if you want to travel somewhere far away but you can't, you just go to your computer and look it up. Then you feal like you are really there. It can also help you study about people that live far away and that you won't get to meat in person. Finally when you go on your computer you can go online and talk with your family and friends. There are all types of websites you can go on to talk and hang out with with all of your friends and family. The computer is very helpful because it keeps your family and friends together and happy. In conclusion I think computers are a great, fun, and helpful invention. Remember these good characteristics that computers have and please don't take computers away; we need them.
445	1	4.0	4.0	8.0	Dear @CAPS1, In my opinion I think we should use computers. The reason why I think we should use computers because @CAPS2 we need help on something, we can find it on the computer, also because sometimes that is the only way you can get in touch with someone, and sometimes people @MONTH1 have to go on the computer and check instant mail. Frist of all, I think we should use computers because @CAPS2 we need help on something we can find it on the computer. For example, @CAPS2 a student need help on homework they can go on google and look on the they doing and it will help. Also They can go on a website called http.historywork.com and that will also help that on what. Another reason why I think we should use computer because sometimes that is the only way you can get in touch with someone. When I say this I mean like @CAPS2 you have a computer connect with them on the computer. For example like @CAPS2 you have a gmail, facebook, yahoo or myspace you can talk to you friends at there. I do it all the time. Last reason why I that we should use computer is because sometimes @MONTH1 have to go on the for example @CAPS2 you @MONTH1 had important message the website and you message you. I do it why can't you. So yes I do their.
653	1	4.0	4.0	8.0	@ORGANIZATION1, The computer to me is very beneficial. I say that because if wasn't @CAPS4 the computers we wouldn't have as much knowledge about other contries like we do now. Also because it's another source of communication. Another reason is, the computer helps kids get their work done faster. Hopefully after reading this you will think the same I do about computers. First the computer helps people know about what happen with people in other islands. @CAPS4 example you heard about the @CAPS1 that happen in @LOCATION1 by t.v. But what if you wanted to get more information about it. All you had to do is type it in and it gives you a lot of information. Also it shows how the in the other places are and how people have in deal with all of that. Another example is communication. The computer has allowed people to have a conversation without a phone or being in person. That helps people a lot because not everyone likes to be on the phone all day (me) so that their of communication. Also you can go on website @CAPS2, @CAPS3 or other places to talk to your friends. Some people prefer to have penpals. A penpal is a way you can communicate with someone you never and from another contry, more you have @NUM1 reasons on how you can communicate from your computers. My theird reason why computers are beneficial is the get done with their ways @CAPS4 example lets just say you had to find so definitions, instead of looking the word in the dictionary you can just type in the definition. Also if you have to do in history you can go on the computer and find on him/her. So I hope you take this in consideration that computer are great @CAPS4 society.
862	1	4.0	4.0	8.0	Dear @PERSON1 editor, I think that the computers have both positive and negative effects, but more positive. For example, when people get home from work or school, they immedlatly go on the computer, to check email, do work, or to play games. I think that it's good to connect with friends and learn about the far away nature and people that we cant see, but too much of it will be bad. I know it will be bad because it can cause a lack of exercise and the computer can cut you off from your family and friends if you're on it too much, I think it's good to go on the computer for a limited amount of time each day, but also spend time outside with family and friends. The computer is good because of all the extrodinary things it offers and the things you can learn. I myself like to play video games on it like bubble spinner but at the same time I'll be on facebook, facebook lets me connect with friends and family while bubble spinner helps with hand-eye coordination, when projects came along I usually do all my research there, picking up information on each site. I also do all the writing on it too so it wont look messy but instead, clean and neat. The computer also offers video of pretty much anything on t.v. and otherwise, like youtube or google videos. The computer lets me see nature, talk to friends and family, and lets me see things, like videos, that twill never ever see in books. These show that the computer has a bigger positive impact than negative and we should take advantage of the new technology that we have and not let it go to waste. The computer is a nice outlit to come home and let yourself unwind to. People say that you don't get enough exercise but we have gym and recess at school and we become exhausted at work, which is enough exercise for the day. Computers are a nice device to have and are by far, used daily by almost everyone. So it can't be all that bad by depriving you from nature and family because it lets you see it anyway. The effects it has on people are good because of the knowledge and communication it brings. I hope you see my point of view.
1101	1	4.0	4.0	8.0	Dear, @CAPS1 I am writting this article on computers to inferm you my oppinun on computers positive and negotive efects. The reason why computers are so succsesful is beacuse of some of the great imformation they. Such as directions to a place until you are going to or home imformation on a subject or a pearson. Althoug these all sound good any one can post imformation on the internet so some imformation misnt not all be accrate. Some reasons why the computer is bud is beacuse of signs wich are not safe and can give your pearsonal imformation to a and comeing back to bud you in the future. Also webite or pop up icon are not suttebul for younger kids and exposeing them to to mature for them. Lastly talking on the computer is apart of our everyday lives such as emails almost every american whita computer here. A email, this is a great to relie or. Also the new sorse of web witch giving you the ability to see peaple and into the computers wich is raipidly growing in the @LOCATION1 @CAPS2 all in this article this you my point of veiw on computers.
1333	1	4.0	4.0	8.0	Do you think computers are handy? I do believe they are very handy. Computers offer many things like Online shopping, @CAPS1 and even @CAPS2.V. Online shopping can be very helpful. Say you don@CAPS2 have a car. Well you can go online and buy whatever you need at the store. People is a function that @CAPS3 and @CAPS4 does where you order your @CAPS5 online and they drop it off. Say you need clothes or shoes or maybe even games. You can go online find what you want click buy and chose your shipping. That is why I think computers are helpful. Chatting on the computer is great. Now facebook, @CAPS6 and @CAPS7 are the social networking sites that rate the @CAPS15. On @CAPS6 you can follow famous people like @PERSON1 the @CAPS9 @CAPS10 @CAPS11 receicer. Facebook has fan pages for famous people. @CAPS7 might actually have famous people accounts. Chatting become something that almost @PERCENT1 of the @CAPS13 uses. you @MONTH1 believe its pointless but almost the whole @CAPS13 uses it. You can also use webcam @CAPS1 where you can actually see the person talking to you and they own see you. @CAPS1 also is good if your always on the go and you cant talk on the phone then you send messages in @CAPS1. this is why I find @CAPS1 as such a neccessity. @CAPS17 is a new thing that has recently hit the @CAPS13 @CAPS11 @CAPS15. there are sites such as @LOCATION1 can or @CAPS16 @CAPS17. Also you can buy @ORGANIZATION1 league @CAPS18 or @ORGANIZATION2. @CAPS17 and you can watch live sports games from your computer. This is also easier when maybe your in the car for a long road trip then you turn on your laptop and watch any show you @MONTH1 went @CAPS17 on the go is technology at its higher point. Thats why computers are so convienient. So now you have read how helpful, how its a neccessity, and the computer is convienient. Now one day if you need one of these things remember this and check out the hottest sites on the @CAPS15.
1564	1	4.0	4.0	8.0	I disagree what people say about computers. Likewise of corse they teach hand eye coordination. But they are not good enough for people. Lets find out what I have to say to these people who think that computers have a positive effect on people. People are so fat! Wounder why. Because they spend to much time on computers and less time exercising. Anyways @PERCENT1 of @LOCATION1 is obese. Concluding that some people die each year of being over weight. Think of it this way baseball players and so on can get about @NUM1 to @MONEY1 a year, isn't that what you want to be millionaires? Isn't nature so great when you exsperiance it? Well I think so because people don't think before choping down trees. Think about the animals don't you think they get enough torrocher evey year. Computers are such a bad influiance to people agian because people need to experiance life an not sit behind a desk or a home being lazy. Myspace, facebook and all the other crazy site s on the web are not good. There are sexturall preteters all over the world that like to rape kids and teenagers like us at batchelder. You should not interacted with friends on the internet for that reason. You should get some exersise at the park with your firends and family. Aslo its better to talk to new friends in person because you can get to now them better as you grow up. There are many reasons why computers are bad and sometimes even worse. Don't use computers for stupid reasons. Or might get yourself killed. It makes you so felt that you won't be able to walk. Just keep that in mind people.
10	1	5.0	4.0	9.0	In the @LOCATION1 we have the technology of a computer. Some say that the computers are good for the society. I disagree, I believe that it is bad for a few reasons. Some of the reasons are obesity, cramps, more sexual harrassment and even cyber bullying. First if people don't get off the computers and go out to exercise then it will cause obesity. Think of it this way, if you watch a kid that didn't have to go to school his entire life and he started off at @NUM1 pounds. The only thing the kid will want to do is play on the computer and he will gain weight. Next, tip-top-tip-top, that's all you hear when a kid is on the computer, @CAPS1 teens come home from school and go straight to the computer and don't get off about on a school night. These are the kids that are @CAPS1 likely to get bad cramps. they get the cramps form typing to fast, hard and too long. They also can get the cramps from just sitting down for to long then trying to get up but can't because it hurts to much to decide to move anywhere. There's also a lot more of sexual harassment that is going on some kids goin to a chat room to talk to their friends about some great news, but when they get out of the chat room they are all mad and pissed off. The reason is because someone was making fun of them and they didn't like it. This happens maybe close to @PERCENT1 of the time that teens and even parents go into chat rooms online. This is the third reason on why computers have an huge effect on people. The last reason that computers have a huge effect on people is because of cyberbullying. cyberbullying is when someone bullies you but just online instead. Have you realized that children became poor or sick because they dont want to be hurt or killed over something very stupid? Well, I have and it's not nice, and now the god thing is if a kid goes to school online he/she @MONTH1 get cyberbullied because he's not smart enough or if he/she don't have the money to go to school. The cyberbullying normally occures in a chat room online. There is where all of the family will either become broke with no money or food. They @MONTH1 even lose their kid or the house that they live in because someone wanted to act all big and bad to be popular in school. In conclusion, these are only a few ways that computers effects people. The obesity, cramps, sexual harrassment and cyberbullying are not a joke and it's not fun to get done to you. Now it's your turn to tell us what you think about the computers. Do you think computers are good and benefits society or is it bad a rot little kids brains to make their lives horrible for them to live with?
